,cluster
2,3
3,3
5,0
7,3
8,0
10,3
12,2
14,0
15,0
16,0
17,2
18,0
19,3
20,1
21,3
23,3
24,0
25,3
26,0
27,3
28,3
29,2
30,0
32,3
33,3
35,0
36,3
38,0
39,3
40,0
41,2
42,0
43,0
46,0
47,3
48,0
50,0
51,0
52,0
54,3
55,3
57,3
59,0
60,0
62,2
64,3
65,3
66,0
68,3
69,2
70,3
71,3
72,0
73,3
74,3
75,0
76,2
78,0
79,0
81,3
82,0
83,0
84,0
85,0
86,0
87,3
89,3
90,0
91,3
92,3
93,1
94,0
97,1
98,0
99,3
100,3
101,1
102,1
103,0
104,0
105,0
107,0
111,3
112,3
113,3
115,0
116,2
117,2
118,3
119,0
120,0
121,1
122,0
123,0
124,3
125,0
127,3
130,3
132,3
135,0
137,1
138,0
139,3
140,0
141,0
143,0
144,0
147,0
149,0
150,0
151,0
152,0
153,0
154,2
156,0
157,0
158,0
160,0
161,0
163,0
164,0
169,0
171,0
172,3
173,3
174,0
175,0
177,0
181,0
182,3
183,0
184,0
185,0
186,0
187,3
190,0
192,0
193,0
194,0
197,0
201,0
202,0
204,3
205,0
207,0
208,3
211,0
212,0
213,0
215,0
217,3
218,0
219,0
220,2
221,0
222,3
223,0
224,0
225,0
227,0
228,2
230,0
232,0
233,0
235,0
237,0
238,0
239,0
243,0
245,0
246,0
250,0
251,0
253,3
254,0
256,0
258,0
261,0
262,0
264,3
266,0
268,3
270,3
273,2
275,3
277,0
278,0
282,3
284,3
287,0
288,0
289,1
290,0
292,0
293,0
295,0
296,0
297,0
298,0
301,0
305,0
308,0
311,0
312,0
313,3
314,2
318,0
322,0
323,0
324,3
326,0
327,0
329,0
330,3
331,0
333,0
334,0
335,0
337,0
338,0
339,3
340,3
341,0
345,3
347,0
348,2
349,0
351,0
358,0
359,0
360,0
361,3
362,0
365,2
366,0
367,3
368,0
370,3
375,0
376,0
377,0
379,1
381,0
382,0
383,0
384,0
385,0
389,1
390,3
393,0
395,0
397,0
398,0
401,3
402,0
405,0
406,0
408,0
410,0
412,3
416,3
417,0
418,0
419,2
420,0
422,0
425,0
427,0
428,0
429,3
430,0
431,3
433,0
434,0
435,0
437,0
439,0
440,3
442,0
443,0
446,0
448,0
449,0
451,3
453,0
454,3
456,3
457,0
458,3
459,2
463,0
464,0
465,3
466,0
467,0
468,0
469,0
470,0
474,3
477,0
479,0
480,0
481,0
484,0
485,0
486,3
487,0
488,3
491,0
492,0
493,0
494,0
496,0
498,0
501,0
504,0
505,0
507,3
509,3
510,3
511,3
513,3
516,0
517,0
519,0
520,0
521,0
523,0
524,0
526,3
527,1
528,0
529,0
530,0
531,0
532,0
533,0
535,0
536,0
537,3
538,0
543,0
544,2
545,0
546,0
548,3
549,0
550,0
551,0
552,0
553,0
554,0
556,1
560,0
561,0
562,0
563,0
564,0
565,0
566,0
568,0
569,0
570,3
571,3
572,3
573,0
574,3
578,0
580,0
582,0
583,3
586,0
588,3
589,3
591,0
592,0
593,3
599,0
601,0
603,0
604,1
605,0
606,0
607,3
608,0
611,0
612,0
613,0
614,3
615,2
616,0
617,0
618,0
619,0
621,0
622,0
623,0
624,0
626,0
627,3
628,0
630,0
632,0
633,0
637,0
638,0
639,0
640,0
642,0
644,3
646,3
651,3
652,0
654,0
655,0
657,3
658,0
659,0
662,3
664,0
667,0
