,Q16_Python,Q16_R,Q16_SQL,Q16_Bash,Q16_Java,Q16_Javascript,Q16_Visual_Basic,Q16_C,Q16_Matlab,Q16_Scala,Q16_Julia,Q16_Go,Q16_NET,Q16_PHP,Q16_Ruby,Q16_STATA,Q16_None,Q16_Other,Q19_Scikit_Learn,Q19_TensorFlow,Q19_Keras,Q19_PyTorch,Q19_Spark,Q19_H20,Q19_Fastai,Q19_Mxnet,Q19_Caret,Q19_Xgboost,Q19_mlr,Q19_Prophet,Q19_randomForest,Q19_lightgbm,Q19_catboost,Q19_CNTK,Q19_Caffe,Q19_None,Q19_Other,Q38_Twitter,Q38_Hacker_news,Q38_R_machine_learning,Q38_Kaggle_forum,Q38_Fastai,Q38_SirajRaval,Q38_DataTau,Q38_Linear_Digression_podcast,Q38_Cloud_AI_adventures,Q38_FiveThirtyEight,Q38_ArXiv,Q38_Journal_publication,Q38_FastMLBlog,Q38_KDnuggets,Q38_OReilly_data,Q38_Partially_derivative_podcast,Q38_Data_Skeptic_podcast,Q38_Medium_Blog,Q38_Torwards_data_science,Q38_Analytics_Vidhya,Q38_Other,Q38_None,Q36_Udacity,Q36_Coursera,Q36_edX,Q36_DataCamp,Q36_DataQuest,Q36_Kaggle_learn,Q36_Fast_AI,Q36_developers_google,Q36_Udemy,Q36_TheSchool_AI,Q36_Online_University_courses,Q36_None,Q36_Other
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
10,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
14,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
